claim_id	where	lang	trigger	sentence
b7e6bc86	card:body-overview/more	zh	quant	論文說 166,691 顆神經元(含只有軸突伸進來的感覺神經元);
992bc89a	card:neck-gap/more	en	quant	Brain cell bodies stop at Z=44,160 and nerve-cord bodies start at Z=60,697 — 16,537 units (~132 µm) of pure passing axons in between, including the giant fiber's own enormous axon.
17796fd5	card:motor-map/more	zh	quant	翅膀那 67 顆裡,24 顆接到真正拍動翅膀的動力肌,其餘多是控制翅膀角度的轉向肌——文獻若只數動力肌會得到比較小的數字。
b5fe1bc6	card:wing-beat/more	zh	quant	數字來自一篇起飛空氣動力學**數值模擬**論文所引用的量測(二手轉引,標 ○):翅長 2.83 mm、平均翅弦 0.85 mm、拍翅 169 Hz、拍幅 134°;
fd6e82d8	card:hex-columns/more	zh	quant	我們逐柱數過:L1、L2、L5、Mi1、Mi4、Mi9、Tm1、Tm2、Tm9、Tm20、C3、T1 這 12 種細胞型,在 96.7%-99.8% 的柱子裡恰好一顆(各型總數 1,732-1,773,對上 1,771 柱)。
5eed7abd	card:hex-columns/more	en	quant	We counted column by column: 12 cell types — L1, L2, L5, Mi1, Mi4, Mi9, Tm1, Tm2, Tm9, Tm20, C3, T1 — appear exactly once in 96.7-99.8% of columns (type totals 1,732-1,773 against 1,771 columns).
b9ca7285	card:spikes-hz/more	zh	quant	我們在模型裡量到 MN9 207 赫茲(刺激 21 顆 × 200 Hz,落在引爆區,是模型值不是果蠅的生理放電率,只能當相對指標);
a81577f3	card:spikes-hz/more	en	quant	In the model we measured MN9 at 207 Hz (21 neurons stimulated at 200 Hz, inside the ignition regime — a model value, not a fly's physiological rate, usable only as a relative index);
28d3bc05	card:shuffle-control/more	zh	quant	真實連接組下 MN9 是 207.00 赫茲,三個打亂版本都是 0.00。
1437114b	card:shuffle-control/more	en	quant	On the real connectome MN9 fires at 207.00 Hz;
b193cba8	card:no-learning/more	zh	quant	資料本身帶著學習所需的結構——KC→MBON 的 61,210 條連線就在圖裡,多巴胺神經元也在——但模型不把多巴胺當調節訊號,它跟其他神經元一樣只是放電。
d77a742c	card:escape-converge/more	zh	quant	在本站出貨的邊檔門檻(權重 ≥2)下,LC4 126 顆全部、LPLC2 185 顆裡的 183 顆連到 DNp01,合計 309/311,分別貢獻 6,362 與 4,860 個突觸;
7482927d	card:escape-converge/more	zh	causal	文獻上 LC4 編碼逼近速度、LPLC2 編碼視角大小,巨纖維把兩者線性整合後決定要不要發放。
91269b0a	card:escape-two-muscles/title	zh	causal	跳是直連,翅膀教科書說要轉手——模擬卻沒走那條路
0edc3f26	card:escape-two-muscles/kid	zh	causal	畫面照模擬畫,所以你看到的跟教科書不完全一樣。
a1f5b4bd	card:escape-two-muscles/kid	en	causal	The giant fiber connects directly to the nerve cell that drives the jump muscle, but not to the one that drives the wing muscle — the textbook says the wing signal goes through a relay cell (PSI).
da1a2bc3	card:escape-two-muscles/more	zh	quant	實測:巨纖維→TTMn(跳躍肌)2 條邊 90 個突觸,是直連;
b7b5fbd3	card:escape-two-muscles/more	zh	quant	巨纖維→DLMn(翅膀下壓肌)0 條邊,必須經過 PSI(巨纖維→PSI 4 條邊,PSI→DLMn 10 條邊 449 個突觸)。
4a672f57	card:escape-two-muscles/more	zh	quant	出貨情境的模擬裡 PSI 完全沒放電(最強的早期輸入是抑制性的),翅膀下壓肌 DLMn 首波 15.7 ms 走 LC4→DNp03→AN19B001→DLMn 這條路(AN19B001→DLMn 權重 +802/+672)。
