trial,t,flywire_id
0,0.0001,30512
0,0.0002,25267
0,0.0003,533129
0,0.0005,33137
0,0.0007,31429
0,0.0011,31429
0,0.0012,19830
0,0.0012,29469
0,0.0015,29014
0,0.0018,17775
0,0.0020,29815
0,0.0023,30207
0,0.0025,29014
0,0.0026,81112
0,0.0028,31964
0,0.0031,81112
0,0.0035,19549
0,0.0036,30207
0,0.0038,39620
0,0.0041,530029
0,0.0042,25267
0,0.0043,34051
0,0.0045,29702
0,0.0045,30512
0,0.0045,95241
0,0.0046,531898
0,0.0049,20471
0,0.0049,25267
0,0.0049,30207
0,0.0050,19549
0,0.0050,29702
0,0.0051,530029
0,0.0052,29287
0,0.0053,34051
0,0.0054,10010
0,0.0054,19229
0,0.0055,17668
0,0.0056,25267
0,0.0056,28011
0,0.0057,31964
0,0.0059,20399
0,0.0059,28011
0,0.0059,33137
0,0.0059,38542
0,0.0060,16659
0,0.0068,523564
0,0.0074,12427
0,0.0075,10943
0,0.0075,12951
0,0.0078,10283
0,0.0080,10017
0,0.0080,10020
0,0.0082,10074
0,0.0082,16475
0,0.0083,10197
0,0.0084,10145
0,0.0087,10257
0,0.0088,22212
0,0.0089,10001
0,0.0094,18628
0,0.0095,10417
0,0.0103,527690
0,0.0105,23147
0,0.0106,10992
0,0.0107,10752
0,0.0110,11137
0,0.0110,12870
0,0.0111,539413
0,0.0113,10923
0,0.0113,800012
0,0.0119,17757
0,0.0122,10855
0,0.0130,10173
0,0.0131,12275
0,0.0134,10281
0,0.0135,23756
0,0.0135,531898
0,0.0138,10361
0,0.0142,10584
0,0.0144,17522
0,0.0144,534063
0,0.0146,11630
0,0.0147,519773
0,0.0148,11927
0,0.0155,14862
0,0.0156,13286
0,0.0158,16659
0,0.0161,12041
0,0.0162,18940
0,0.0164,28663
0,0.0167,801689
0,0.0168,10283
0,0.0169,11697
0,0.0170,521675
0,0.0171,11367
0,0.0173,10115
0,0.0173,10728
0,0.0175,800084
0,0.0178,10780
0,0.0178,12175
0,0.0180,63441
0,0.0183,12215
0,0.0183,13876
0,0.0185,11133
0,0.0185,75379
0,0.0186,12000
0,0.0186,12628
0,0.0186,342502
0,0.0188,800696
0,0.0191,10001
0,0.0191,531985
0,0.0192,14899
0,0.0192,15890
0,0.0196,10091
0,0.0197,800752
0,0.0198,18714
0,0.0198,523672
0,0.0201,10417
0,0.0203,10257
0,0.0203,12184
0,0.0203,801162
0,0.0204,10102
0,0.0205,10580
0,0.0205,12018
0,0.0205,12507
0,0.0206,10184
