trial,t,flywire_id
0,0.0008,841372881
0,0.0020,427967297
0,0.0031,521444
0,0.0037,701647131
0,0.0042,521444
0,0.0047,489781
0,0.0050,600700832
0,0.0052,701647131
0,0.0056,434199
0,0.0056,319204020
0,0.0060,701647131
0,0.0066,521444
0,0.0070,10981
0,0.0072,11585
0,0.0084,15170
0,0.0086,54465
0,0.0087,10548
0,0.0088,18325
0,0.0090,18351
0,0.0091,19197
0,0.0096,539704
0,0.0098,31871
0,0.0100,11036
0,0.0102,11496
0,0.0105,522840
0,0.0106,11415
0,0.0112,521444
0,0.0122,879469321
0,0.0123,600700832
0,0.0125,10165
0,0.0132,549638
0,0.0134,11604
0,0.0137,600700832
0,0.0142,10695
0,0.0145,14026
0,0.0146,512555
0,0.0147,427967297
0,0.0154,25684
0,0.0155,555259
0,0.0158,879469321
0,0.0170,18814
0,0.0176,600700832
0,0.0180,23162
0,0.0184,10981
0,0.0206,11585
0,0.0207,374296357
0,0.0217,14611
0,0.0228,319204020
0,0.0229,374296357
0,0.0237,521444
0,0.0238,879469321
0,0.0240,841372881
0,0.0248,434199
0,0.0256,10553
0,0.0258,427967297
0,0.0264,15170
0,0.0269,12520
0,0.0269,54465
0,0.0289,18351
0,0.0293,10548
0,0.0294,10981
0,0.0300,521444
0,0.0301,841372881
0,0.0304,317223538
0,0.0304,427967297
0,0.0308,879469321
0,0.0310,15051
0,0.0312,11585
0,0.0314,521444
0,0.0320,539704
0,0.0320,879469321
0,0.0323,841372881
0,0.0324,31871
0,0.0328,523039
0,0.0335,522840
0,0.0336,11036
0,0.0336,14194
0,0.0336,317223538
0,0.0338,10864
0,0.0339,12622
0,0.0340,10981
0,0.0340,11415
0,0.0341,19197
0,0.0345,28332
0,0.0349,317223538
0,0.0350,10165
0,0.0350,10692
0,0.0351,512614
0,0.0354,15170
0,0.0356,524604
0,0.0357,54465
0,0.0359,11496
0,0.0359,24701
0,0.0360,10548
0,0.0364,374296357
0,0.0365,13272
0,0.0365,18351
0,0.0368,10643
0,0.0368,18325
0,0.0369,10506
0,0.0369,43765
0,0.0370,12498
0,0.0371,514297
0,0.0372,524606
0,0.0374,13146
0,0.0375,10553
0,0.0376,10492
0,0.0376,13652
0,0.0376,514951
0,0.0376,555259
0,0.0377,523633
0,0.0378,10467
0,0.0378,11506
0,0.0378,11710
0,0.0380,514333
0,0.0381,10538
0,0.0381,10695
0,0.0381,520621
0,0.0381,524254
0,0.0383,12851
0,0.0387,879469321
0,0.0388,13630
0,0.0389,549638
0,0.0392,13178
0,0.0393,11951
0,0.0393,14206
0,0.0393,600700832
0,0.0395,14745
0,0.0396,20102
0,0.0403,512859
0,0.0406,36541
0,0.0407,517268
0,0.0409,11604
0,0.0417,531643
0,0.0421,14210
0,0.0422,12378
0,0.0425,427967297
0,0.0426,14026
0,0.0427,15140
0,0.0427,40773
0,0.0428,489781
0,0.0429,15302
0,0.0430,12169
0,0.0432,427967297
0,0.0433,434199
0,0.0435,13364
0,0.0436,11403
0,0.0438,15148
0,0.0440,524363
0,0.0441,24975
0,0.0441,800461
0,0.0443,489781
0,0.0444,800163
0,0.0446,520862
0,0.0447,10587
0,0.0448,903602
0,0.0449,22931
0,0.0450,20418
0,0.0451,804941
0,0.0453,800565
0,0.0456,15653
0,0.0458,14098
0,0.0458,805598
0,0.0467,800061
0,0.0468,919509
0,0.0469,10203
0,0.0471,14537
0,0.0472,12590
0,0.0472,879469321
0,0.0473,519878
0,0.0474,10035
0,0.0474,10499
0,0.0474,11131
0,0.0474,15850
0,0.0476,10967
0,0.0476,13035
0,0.0476,800256
0,0.0476,801173
0,0.0478,16162
0,0.0479,63027
0,0.0482,13336
0,0.0483,11352
